1552365_at,1552439_s_at,1552754_a_at,1552943_at,1553635_s_at,1555564_a_at,1555778_a_at,1555804_a_at,1556057_s_at,1556096_s_at,1556351_at,1557122_s_at,1557395_at,1557636_a_at,1558034_s_at,1562371_s_at,1565483_at,1565484_x_at,1568612_at,201291_s_at,201292_at,201890_at,201909_at,202018_s_at,202237_at,202409_at,202410_x_at,202437_s_at,202454_s_at,202508_s_at,202859_x_at,203000_at,203001_s_at,203131_at,203400_s_at,203797_at,203798_s_at,203819_s_at,203820_s_at,203854_at,203889_at,203998_s_at,203999_at,204187_at,204260_at,204298_s_at,204379_s_at,204409_s_at,204465_s_at,204584_at,204712_at,204846_at,204850_s_at,204851_s_at,204865_at,204932_at,204933_s_at,204955_at,205000_at,205113_at,205278_at,205347_s_at,205358_at,205363_at,205433_at,205471_s_at,205472_s_at,205549_at,205551_at,205578_at,205625_s_at,205626_s_at,205728_at,205737_at,205751_at,205923_at,205932_s_at,205989_s_at,206018_at,206135_at,206140_at,206157_at,206159_at,206163_at,206172_at,206190_at,206282_at,206349_at,206385_s_at,206456_at,206502_s_at,206552_s_at,206773_at,206785_s_at,206826_at,206898_at,206915_at,206935_at,type
8.865193719,7.74142084,9.936970904,3.606763708,9.305011992,9.647561498,7.918613723,4.871235641,5.409013047,4.596628422,3.755029921,6.243457884,5.791872997,4.608053639,4.645918496,4.406253675,6.032937676,5.764959315,4.832207909,8.375561251,9.40514717,9.617693606,6.467027706,12.78536373,11.69220912,8.039802576,5.916420389,6.575856244,4.930585029,10.24197368,12.24951571,9.283220724,8.667983757,9.094737357,8.993685738,7.231189225,4.930563343,9.844694233,10.08109857,10.5321683,12.12996651,5.046505828,6.66915692,6.7608258,8.846474282,10.49499182,11.65946228,3.439777122,6.976456338,5.294074086,8.103090435,5.807872505,9.596271669,9.419335766,7.081449662,6.97785657,7.676042315,11.32801695,4.342293834,5.64782731,9.920288887,7.837933867,11.00388459,10.64638861,11.08934983,5.463286723,4.517478309,6.956286006,5.309400796,4.563886705,4.425700923,4.500996879,4.015376301,4.906372527,9.370124136,6.474155379,10.06786527,3.852465402,11.58252441,4.906372527,10.2306828,11.9670421,4.334476498,8.101972905,10.37322169,4.412692183,4.023724764,9.742995572,8.946915498,4.377654364,10.65217202,3.877130212,5.890641441,4.315781788,12.27658214,4.09979975,10.0642189,10.68239649,1
9.646929057,8.582221966,9.284966031,3.679205906,6.600508739,8.149917253,9.75458409,5.810493669,7.651897166,5.686385819,4.426936884,7.360727055,7.268714887,4.329458548,4.91570436,5.249989289,8.13108556,7.896672624,7.642116462,8.988676391,10.06426682,10.79135883,7.005864677,8.93727184,8.243201332,8.527761766,6.067660162,6.629158387,6.656839213,10.79659868,10.3564761,9.304613383,8.658601645,9.549192877,10.20546296,9.708636809,7.201850977,9.385219697,9.836291521,9.5353259,11.85135394,6.57047106,9.353464962,8.908246317,8.822012789,7.67809932,12.36965581,3.283002073,7.262345373,6.228287282,5.246526348,7.622760882,8.380704801,8.142866305,8.745455113,5.212363001,5.483991652,12.19167241,4.104521641,7.701267632,9.990393456,10.16153462,11.30573302,10.88178633,11.00539286,4.782160217,4.709467038,7.86728156,7.433137781,4.963304686,4.687310512,4.724783064,10.66676103,10.11064259,7.749998639,6.736793472,9.793183493,6.206307247,11.60436462,5.845857004,9.744644304,10.00456581,4.854748857,7.853041635,9.797795463,9.048976526,6.105671278,9.253128837,9.123003546,4.658157402,8.016930821,8.481871756,8.938905962,7.355309621,12.580836,4.616756605,9.799375592,9.496677765,1
6.026914463,8.356389557,8.644778901,4.562770043,5.010251997,5.592693198,5.109611747,5.598259175,5.853088971,5.598683058,5.047858303,11.04847662,3.664256877,3.333139442,6.602423473,5.219937342,9.565513274,9.029571291,7.752639095,10.54020073,11.22492467,10.66463732,13.09797337,6.756377269,5.58925438,7.795735669,7.182701274,5.378600385,9.437461211,11.67182299,7.299458759,9.233924742,9.013940332,13.65388148,11.05773575,10.44318862,7.682986624,6.570602804,7.092527299,6.748356816,10.07887024,8.866256613,10.74432487,8.205366885,8.454587444,5.917117397,7.075205981,10.16867716,10.03219597,7.61760641,7.821133223,6.804409545,11.47293918,11.32174138,5.199937273,4.720382139,5.085217286,9.433961756,11.04211271,9.91785355,12.10467516,12.90006069,11.63374362,5.594649789,10.60535196,5.009095281,4.318875767,9.355293653,7.933160495,4.499708526,5.808809146,5.168905431,9.024676119,9.429638867,8.048481846,7.171131735,8.633592085,8.532516385,10.32088457,7.869261244,9.712530569,6.65875584,5.040118638,4.753767242,8.695025638,8.222763326,5.135981386,7.350777686,9.454549109,5.790827269,8.531334427,9.432907366,8.357959369,11.88925501,12.20360527,5.677101602,11.52347958,5.576004187,1
7.02707323,8.195262976,7.142456377,10.56694009,10.72479043,7.213543225,5.57421586,9.975858663,6.38117902,4.802305728,4.602167855,7.371402923,6.61640088,7.979947032,9.55817683,10.18716025,12.6107093,12.4379152,4.611667081,5.580155166,5.690144127,5.84509826,11.52710795,6.09250856,6.521325646,13.42914653,11.10722148,7.463659076,6.011677445,8.404238682,8.49710163,6.601549064,6.176408304,7.497455069,7.059351315,9.292127378,6.017957093,7.027161582,6.95213414,8.351089795,7.989033702,6.022184249,7.673293844,11.53374976,6.233471059,7.305663417,11.64585432,7.59976228,6.507271349,6.3357001,5.944190889,10.49712541,7.50255875,5.195234151,9.324482305,8.155377418,9.26655732,9.080113113,9.136109502,5.847480554,5.368169809,6.360575562,5.847064776,10.29416522,4.898860818,8.525512915,6.489291663,11.41841833,5.767680844,8.466974931,11.43626081,11.0956192,6.854804775,5.767703655,7.116066859,12.00303987,11.56948446,4.64717382,5.223719645,5.115718458,4.897033449,5.111031806,10.43769153,7.559137635,10.98363899,5.180518495,4.703440917,11.14544749,5.029875946,5.527333745,5.621845985,3.859793886,8.058252431,4.387647108,10.56460515,4.406016709,4.486196428,9.680311255,0
8.104710431,6.813598006,5.449861011,9.936683938,11.30104691,9.952337278,5.901541748,10.89108166,6.016852519,4.789472422,3.949798172,6.448370081,7.433579201,9.024790207,6.340013129,8.058843955,11.34799558,10.8566376,4.401537574,9.211159154,8.879124956,7.75417988,12.87023455,6.433348298,5.914164044,14.43425012,12.93861467,4.717222641,6.292799148,6.178870444,6.712802344,5.757563876,5.050641231,8.439928498,7.037881187,7.817085194,5.068712232,4.341961367,4.027172938,10.04355497,8.100612926,8.633895943,9.610631094,11.19581697,7.250668998,8.32519928,10.48758883,8.846471763,7.003443044,6.853345099,12.32273477,6.651906259,5.430002694,5.411575576,4.223390073,7.902749137,9.102580408,5.160648431,11.07529769,5.546819239,5.839744625,6.265765596,8.3379376,10.68093716,5.194555563,11.4320539,10.20172129,8.95529321,6.106319138,11.29269395,9.363865028,8.740461747,4.100418135,7.891198749,5.312520808,12.42548656,13.64280277,4.721615548,4.810823563,5.230673027,4.694786472,4.322170308,7.445798934,5.478625864,11.5469962,8.835630537,4.723680239,10.78305761,4.596900949,9.610553491,10.20045474,3.435854551,10.67727074,4.495609199,8.489932091,3.982261247,6.304303887,4.012992749,0
9.152536214,11.43120797,11.17264551,3.883631671,5.25517217,11.34255618,8.466227943,5.257344897,7.113763663,6.874788829,4.227989763,10.59387932,4.18954108,4.326267268,5.732382697,4.089753979,5.968169437,5.974406646,5.168296701,7.069811855,8.605099999,9.067969314,12.85222304,6.013757269,8.205790699,12.50940972,8.625849608,6.956650734,9.475097669,11.66827892,9.589724784,8.075709055,7.327301699,13.11130161,12.02187938,7.534392782,5.545346193,8.644108992,9.47244237,11.73946514,13.09583625,5.751301797,8.54633661,6.504259827,9.937859818,8.726366868,7.402731108,9.22112587,6.799910154,8.151973828,9.00026738,8.621472401,10.60254592,10.75092407,5.228195673,8.143533644,8.662673988,12.88235184,10.24775006,8.706212154,12.26454612,10.86038623,12.3773967,6.51077123,11.92817274,5.384352767,4.995613594,9.040878343,6.203238789,4.592595088,7.894196789,7.635831657,10.0518618,10.03947355,9.397237417,7.694350834,8.005910948,6.649602684,3.99970959,5.229592081,5.599529152,6.783716008,5.715390645,6.881546224,8.178607521,9.787249636,5.577030913,6.819845784,10.99296205,4.019849038,5.229474496,3.783501198,9.81534911,10.81506986,12.85395672,11.08109456,11.00821313,9.329824586,0
7.624071713,4.949153504,6.18836302,4.554241076,5.085375159,10.23738428,13.4168865,5.757886613,5.746541597,4.476792906,4.904932471,9.348443471,4.243644748,4.127246739,7.485962012,5.017460176,10.62740001,10.25898741,4.413637912,6.98294371,8.241299435,9.125428656,12.88297598,6.68651987,11.65630601,5.108800645,6.557999728,11.05704792,6.225011317,8.633584245,9.799706864,8.557541937,8.12886137,8.776593733,10.87128091,7.999663328,5.869149541,9.271500745,9.93068791,10.96124827,10.95111313,10.55639532,11.49801908,5.896978471,10.17259219,6.895059865,5.583976014,9.460905184,6.481201997,8.478230204,5.228617696,8.014784862,5.15684179,4.568555382,5.023276579,8.053964789,7.456231232,13.48505003,10.89326655,10.59324945,7.19883079,7.667914943,8.83482953,6.579424037,8.838838364,5.334745543,4.557901192,6.170804399,7.968991406,4.976573796,9.298178078,8.62788595,7.773262907,6.000842795,5.560954122,6.244357372,8.754249998,4.49954792,9.489822655,5.123654115,5.532445883,8.843635883,5.364091413,7.004370346,11.79708041,4.71362911,5.21278417,8.611808515,7.043828037,4.505025743,6.900396132,3.532914662,4.919612307,10.26942734,9.767666331,4.43759645,7.472511235,5.620334445,1
9.475564628,5.106715892,4.308192579,7.270449331,9.358641589,10.41526391,7.516757791,9.116247715,5.927995105,5.026278606,7.734554518,6.640394539,8.344312041,8.745661894,11.52152051,8.904962319,11.27982794,10.6795793,4.209969689,5.500590499,5.596844694,6.485964649,12.50680419,9.863726946,12.09768386,11.53004205,8.698568166,12.4292812,6.337675324,8.088458185,12.32734023,5.712754219,5.029576311,7.778453574,7.119793905,7.229050238,5.566186618,5.610902939,6.857721098,11.59012182,6.498304284,5.283598276,6.598461906,12.40475746,5.766820983,11.13849547,11.89230181,8.449779255,7.242559574,6.163464281,12.46234005,12.61141755,6.110613922,5.00109256,6.194102775,11.36630868,10.9275848,8.7243425,10.69514926,6.303876313,6.518490085,7.296989044,6.721057535,9.940798439,5.192918505,8.98876241,7.947170592,10.96309971,6.276767382,9.020241282,11.65667794,11.89277879,4.029215808,5.394748264,7.15753088,11.36392225,12.60976054,3.808426179,4.709554365,4.74755415,4.440996164,10.31593759,8.814962765,7.858803075,5.504084111,4.7882522,5.329055639,10.22554689,4.992174603,4.771533398,5.490179588,3.958313765,12.08791375,4.211919473,8.530260525,4.290985917,4.336896683,5.256295952,0
10.85300949,7.399388042,9.741436912,4.779119116,7.386483778,8.62568863,6.448765918,5.792680716,6.241343126,7.096242288,4.099350913,8.1688534,5.732748684,6.08926437,9.639854535,5.925441515,10.84752007,10.53436598,6.009424724,7.226744637,7.966752775,8.095738789,6.776614857,13.95611777,11.60621287,9.785028811,7.833445764,9.683242076,8.698116488,10.69649971,9.403187828,8.98723978,8.459655797,10.71418276,13.77615583,9.915199693,6.283462596,6.902315819,7.801736273,11.4111859,11.83892372,6.907696226,9.522555868,9.45370484,7.271854051,4.675519714,12.11256419,2.997235249,7.647616837,7.983209911,4.40764955,10.04612305,8.238457338,6.535962387,4.894909633,6.543418963,5.792585668,10.31293599,4.529736308,7.667710563,7.704513505,9.229655333,11.19213425,10.49776646,11.10082803,5.181437802,4.42080475,7.815903772,7.543040848,5.909176092,5.854439479,4.948069297,7.500558389,7.640467714,9.627658269,8.254274787,8.866223758,9.904183898,9.659177072,9.276173252,7.411728233,8.380591903,4.809719432,6.522746175,10.10505486,9.350163493,4.849496855,8.667663037,9.763594814,4.90298593,7.20490694,6.08744205,8.701543863,5.563378456,12.35893603,7.924166858,9.090719509,5.936269136,1
7.000772406,7.761068715,10.77874378,6.838934149,6.338740096,5.95130499,5.385972692,5.518888554,9.206684383,10.9030703,10.03988455,12.9276876,4.153949602,3.346931244,5.359207693,4.329204379,5.585446724,6.044556728,11.6553332,4.561701266,4.290451027,5.265903745,12.01128718,6.805070932,8.057625525,7.828626266,5.868835394,8.914326052,8.01171092,13.65546107,6.371413608,13.08691631,13.47255919,10.76690329,11.31466335,13.75780061,12.45784692,5.261027886,5.353447704,7.359616749,13.19291491,12.28772665,13.4873303,7.668427651,11.29228316,5.192216766,11.55287571,8.386512412,11.77369465,10.94490162,11.3607652,7.458374373,9.385251282,9.717704409,4.15166876,5.572890531,6.23892647,7.985678846,10.27136014,12.69158065,12.05054478,6.65749944,12.74371329,9.685931688,8.510284746,7.632279471,6.456033058,11.89158928,12.75922835,5.20438511,11.70139959,12.11172362,9.215035592,11.87520433,12.62667179,10.08803349,9.049690548,9.041129404,11.54876302,8.295750137,11.43280394,5.329541118,7.284759691,5.74569593,7.376522168,8.430960187,7.992655512,11.45647297,12.13413801,10.67728568,7.701824217,9.766098551,11.27813638,6.99809501,11.72300501,6.859697639,7.929232201,10.54984228,3
